datetime,open,high,low,close,volume
14-05-2021 20:00,50141.33,50294.6,49030,49841.45,10931.22714
15-05-2021 00:00,49844.16,50700,49269.78,49627.01,10530.44346
15-05-2021 04:00,49627.02,49861.2,48400,48469.28,14762.20292
15-05-2021 08:00,48469.71,49298.59,47721.84,48929.74,16135.57095
15-05-2021 12:00,48929.73,49697.63,48527.07,48982.99,14914.28499
15-05-2021 16:00,48983,48994.27,46900,48108.4,20279.08393
15-05-2021 20:00,48108.4,48738.75,46555,46762.99,12815.86312
16-05-2021 00:00,46762.99,48406.44,46467,48383.46,12801.10138
16-05-2021 04:00,48386.62,49500,48034.82,49375.28,10802.03338
16-05-2021 08:00,49375.28,49795.89,48656,49014.99,10956.00658
16-05-2021 12:00,49014.99,49249.06,47566.01,47727.26,14166.962
16-05-2021 16:00,47727.26,48097.59,44444.44,45549.26,36819.65346
16-05-2021 20:00,45553.24,46480,43825.39,46431.5,28724.05598
17-05-2021 00:00,46426.83,46686,42777,42915.46,28171.85845
17-05-2021 04:00,42915.46,45400,42196.97,45149.18,40557.45817
17-05-2021 08:00,45143.28,45800,44291.84,45731.39,23851.50751
17-05-2021 12:00,45733.55,45791.04,43156,43362.75,23137.98932
17-05-2021 16:00,43357,44400,42001,44197.73,30883.16204
17-05-2021 20:00,44197.73,44939.2,42500,43538.04,20055.19726
18-05-2021 00:00,43538.02,45281.34,43150.79,44779.83,19252.91945
18-05-2021 04:00,44774.78,45799.29,44738.26,45172.7,17218.43055
18-05-2021 08:00,45172.69,45662.14,44607.08,45321.02,13102.72961
18-05-2021 12:00,45318.76,45341.84,42507,42969.47,29573.28358
18-05-2021 16:00,42969.46,43825.65,42371.96,43262.71,23258.65433
18-05-2021 20:00,43262.7,43522.64,42250.02,42849.78,14573.84326
19-05-2021 00:00,42849.78,43584.9,40125,40591.15,36126.91048
19-05-2021 04:00,40591.99,40846.97,38550,40371.44,49067.76755
19-05-2021 08:00,40354.98,40888,36333,38700,47653.49787
19-05-2021 12:00,38700,39295.51,30000,37318.52,121040.6765
19-05-2021 16:00,37310.14,40442,36111,39342.93,63230.66193
19-05-2021 20:00,39337.45,40200,36600.01,36690.09,37227.72887
20-05-2021 00:00,36671.23,38599,34850,38341.04,48547.69902
20-05-2021 04:00,38340.01,40780.87,38202.11,39959.68,32200.02778
20-05-2021 08:00,39959.67,40690.56,38700,40475.17,29967.71724
20-05-2021 12:00,40476.68,42451.67,40086.09,41432.88,38027.21318
20-05-2021 16:00,41432.88,41450,38110,40116.04,36207.21962
20-05-2021 20:00,40116.04,41900,39383.52,40526.64,18067.72008
21-05-2021 00:00,40525.39,42200,40408.84,40666.91,16888.74196
21-05-2021 04:00,40662,40800,39222,39842.57,19169.07259
21-05-2021 08:00,39842.58,41230.67,39277,41124.29,21578.03074
21-05-2021 12:00,41124.3,41789.4,36444.44,36794.57,60933.59106
21-05-2021 16:00,36803.28,37825.75,35501.01,36062.12,41178.4706
21-05-2021 20:00,36062.13,37447,33488,37252.01,42352.98131
22-05-2021 00:00,37263.35,38100,36517.03,36951.85,23246.89106
22-05-2021 04:00,36947.31,37219.45,35200.62,36269.28,25655.68256
22-05-2021 08:00,36266.36,38827.52,36258.96,38157.76,24609.50253
22-05-2021 12:00,38157.75,38829,37000,38162.4,23049.09803
22-05-2021 16:00,38161.92,38600,37158.14,37286.65,16910.01537
22-05-2021 20:00,37286.65,38400,37268.76,37449.73,13071.05414
23-05-2021 00:00,37458.51,38270.64,36668.99,37421.59,14854.36275
23-05-2021 04:00,37421.59,37421.59,35530,35927.69,19893.34723
23-05-2021 08:00,35927.7,35930.89,33800.59,35389.1,48344.18959
23-05-2021 12:00,35386.8,35800,32600,33318.09,53820.33882
23-05-2021 16:00,33316.42,33900,31111.01,33051.73,58933.66486
23-05-2021 20:00,33047.33,35000,33045.31,34655.25,21290.14334
24-05-2021 00:00,34681.44,35889,34664.77,35251.37,22428.73322
24-05-2021 04:00,35250.56,36887,34031,36645.79,25590.362
24-05-2021 08:00,36645.79,37922.18,35877.52,37600.01,32135.12367
24-05-2021 12:00,37600.01,38637.7,37266.58,37539.63,32643.66321
24-05-2021 16:00,37539.64,39787.96,36818.55,39606.1,28459.49505
24-05-2021 20:00,39606.11,39920,37955.42,38796.29,20373.51682
25-05-2021 00:00,38810.99,39791.77,37800.5,38304.51,21694.80288
25-05-2021 04:00,38306.43,39200,37608,38985.06,16331.60008
25-05-2021 08:00,38993.91,39110,36486,36537.16,23406.30178
25-05-2021 12:00,36537.17,38481.18,36419.62,38277.57,27140.25257
25-05-2021 16:00,38277.55,38299.88,37011,37292.69,12652.65669
25-05-2021 20:00,37292.69,38753.98,37250.01,38324.72,10770.61441
26-05-2021 00:00,38324.72,39693.66,37800.44,39503.98,16881.43529
26-05-2021 04:00,39503.98,40755,39000,40445.79,18277.29211
26-05-2021 08:00,40445.79,40841,39379.79,39850.65,17436.64867
26-05-2021 12:00,39850.66,40289.75,38440,38758.61,23079.23483
26-05-2021 16:00,38758.62,39350,37900.03,38485.1,17828.26977
26-05-2021 20:00,38476.74,39450.69,38280.19,39241.91,11277.89273
27-05-2021 00:00,39241.92,39243.1,37134.27,37621.56,15983.29379
27-05-2021 04:00,37623.64,38407.42,37204.76,38275.47,11318.16102
27-05-2021 08:00,38275.47,39888.02,37826.08,39690.01,16212.37978
27-05-2021 12:00,39690,40411.14,39256.59,39667,18400.64495
27-05-2021 16:00,39666.99,39721.28,38500,38768.35,14102.53984
27-05-2021 20:00,38768.36,39187.35,38195.19,38529.98,10530.13941
28-05-2021 00:00,38529.99,38877.83,37687.77,38237.18,11987.4589
28-05-2021 04:00,38237.1,38237.1,36442,36975.93,25493.5849
28-05-2021 08:00,36975.65,37250,35100,35351.65,30447.39511
28-05-2021 12:00,35351.65,37279.98,35168.24,36749.31,22680.51034
